source,link,resolved,reason
en/formations/tiktok-ads-creator-economy/m5-l5.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/tiktok-ads-creator-economy/m5-l6.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/tiktok-ads-creator-economy/m5-l6.html,../../css/global.css,../../css/global.css,file not found
en/formations/tiktok-ads-creator-economy/m5-l6.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m1-l1.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m1-l1.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m1-l1.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m1-l2.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m1-l2.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m1-l2.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m1-l3.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m1-l3.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m1-l3.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m1-l4.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m1-l4.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m1-l4.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m1-l5.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m1-l5.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m1-l5.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m2-l1.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m2-l1.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m2-l1.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m2-l2.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m2-l2.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m2-l2.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m2-l3.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m2-l3.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m2-l3.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m2-l4.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m2-l4.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m2-l4.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m2-l5.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m2-l5.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m2-l5.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m3-l1.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m3-l1.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m3-l1.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m3-l2.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m3-l2.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m3-l2.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m3-l3.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m3-l3.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m3-l3.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m3-l4.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m3-l4.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m3-l4.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m3-l5.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m3-l5.html,../../css/global.css,../../css/global.css,file not found
en/formations/ui-design-figma-mastery/m3-l5.html,../../img/logo.png,../../img/logo.png,file not found
en/formations/ui-design-figma-mastery/m4-l1.html,../../img/favicon.png,../../img/favicon.png,file not found
en/formations/ui-design-figma-mastery/m4-l1.html,../../css/global.css,../../css/global.css,file not found
